Model,Scenario,Region,Variable,Unit,2025,2030,2035,2040,2045,2050
Temoa,baseline,AB,Activity|electricity,PJ,1920.452897,1992.366628,1703.162826,1737.85782,1784.053551,1845.791375
Temoa,baseline,AB,Activity|electricity|E_BAT_2H-EXS,PJ,0.009072852,,0.303215105,,,
Temoa,baseline,AB,Activity|electricity|E_BAT_2H-NEW,PJ,,,,,0.625898368,0.828257453
Temoa,baseline,AB,Activity|electricity|E_BAT_4H-NEW,PJ,,,,,,2.509077265
Temoa,baseline,AB,Activity|electricity|E_ELC_DEM,PJ,317.7864,327.6792,333.0108,335.196,336.4308,338.5404
Temoa,baseline,AB,Activity|electricity|E_ELC_DX_to_DEM,PJ,317.7864,327.6792,333.0108,335.196,336.4308,338.5404
Temoa,baseline,AB,Activity|electricity|E_ELC_TX_to_DX,PJ,268.9498561,278.8426562,284.1742562,286.3594563,306.1563963,318.6350403
Temoa,baseline,AB,Activity|electricity|E_HYD_DLY-EXS,PJ,6.628524767,6.628524806,6.628510308,6.628512715,6.628519121,6.62851671
Temoa,baseline,AB,Activity|electricity|E_HYD_ROR-EXS,PJ,1.242527854,1.242527848,1.242527789,1.242527754,1.242527716,1.242527665
Temoa,baseline,AB,Activity|electricity|E_INT_IN-BC,PJ,0.037740387,0.037740388,0.037740383,0.037740376,0.037740375,0.03774037
Temoa,baseline,AB,Activity|electricity|E_INT_IN-SK,PJ,1.099709386,1.099709384,0.976078757,1.019536399,0.974832984,0.979466278
Temoa,baseline,AB,Activity|electricity|E_INT_IN-USA,PJ,4.478539032,4.478539025,4.451724806,4.415827365,4.437663962,4.408443057
Temoa,baseline,AB,Activity|electricity|E_INT_OUT-BC,PJ,,7.8525576,,7.8525576,7.8525576,
Temoa,baseline,AB,Activity|electricity|E_INT_OUT-SK,PJ,7.8525576,,7.8525576,,,7.8525576
Temoa,baseline,AB,Activity|electricity|E_NG_CC-EXS,PJ,192.4389779,192.4389777,103.6895491,113.001471,108.8053079,96.14134356
Temoa,baseline,AB,Activity|electricity|E_NG_CC-NEW,PJ,,,,,25.85541113,60.60817012
Temoa,baseline,AB,Activity|electricity|E_NG_CC_RFIT_BYPASS,PJ,192.4390878,192.4391118,103.6896503,113.0015753,134.66083,156.7496138
Temoa,baseline,AB,Activity|electricity|E_NG_CG-EXS,PJ,47.59401595,47.594016,47.59400019,47.59400425,29.03187035,18.66282322
Temoa,baseline,AB,Activity|electricity|E_NG_CT-EXS,PJ,10.28422926,21.50039868,,,,
Temoa,baseline,AB,Activity|electricity|E_SOL_PV-EXS,PJ,11.39143084,11.39143083,10.83012844,10.95263697,10.6707018,1.892316368
Temoa,baseline,AB,Activity|electricity|E_SOL_PV-NEW-2,PJ,,,4.311720866,6.368586275,10.90830303,29.47450207
Temoa,baseline,AB,Activity|electricity|E_SOL_PV-NEW-3,PJ,,,117.4195645,116.8666443,116.7224649,116.6294326
Temoa,baseline,AB,Activity|electricity|E_WND_ON-EXS,PJ,61.97816538,61.06523218,55.90274752,47.17934696,42.16153025,23.87955492
Temoa,baseline,AB,Activity|electricity|F_E_NG,PJ,478.4556615,510.396806,288.0372537,304.9453967,304.4193956,321.5511918
Temoa,baseline,AB,Activity|fuel|F_IMP_NG,PJ,478.4556615,510.396806,288.0372537,304.9453967,304.4193956,321.5511918
Temoa,baseline,AB,Capacity|electricity,GW/y,26.88015,26.39275,36.43451663,35.23219133,34.54186251,33.74817333
Temoa,baseline,AB,Capacity|electricity|E_BAT_2H-EXS,GW/y,0.37,0.37,0.256,,,
Temoa,baseline,AB,Capacity|electricity|E_BAT_2H-NEW,GW/y,,,,,0.222626647,0.222626647
Temoa,baseline,AB,Capacity|electricity|E_BAT_4H-NEW,GW/y,,,,,,0.443766103
Temoa,baseline,AB,Capacity|electricity|E_BIO_M-EXS,GW/y,0.444,0.444,0.444,0.401,0.354,0.336
