Model,Scenario,Region,Variable,Unit,2025,2030,2035,2040,2045,2050
Temoa,scenario_3,AB,Activity|electricity,PJ,1920.452134,1992.363532,1703.154539,1737.855377,1774.786957,1867.59481
Temoa,scenario_3,AB,Activity|electricity|E_BAT_2H-EXS,PJ,0.009080872,,0.297110909,,,
Temoa,scenario_3,AB,Activity|electricity|E_BAT_2H-NEW,PJ,,,,,0.199944858,0.273462355
Temoa,scenario_3,AB,Activity|electricity|E_BAT_4H-NEW,PJ,,,,,5.595458957,6.267908992
Temoa,scenario_3,AB,Activity|electricity|E_ELC_DEM,PJ,317.7864,327.6792,333.0108,335.196,336.4308,338.5404
Temoa,scenario_3,AB,Activity|electricity|E_ELC_DX_to_DEM,PJ,317.7864,327.6792,333.0108,335.196,336.4308,338.5404
Temoa,scenario_3,AB,Activity|electricity|E_ELC_TX_to_DX,PJ,268.9498568,278.8426568,284.1742572,286.3594575,306.1563976,319.5681834
Temoa,scenario_3,AB,Activity|electricity|E_HYD_DLY-EXS,PJ,6.628524551,6.628524761,6.628450608,6.628473225,6.628384354,6.628516124
Temoa,scenario_3,AB,Activity|electricity|E_HYD_ROR-EXS,PJ,1.242527219,1.242527172,1.242526811,1.242526592,1.242526446,1.242526179
Temoa,scenario_3,AB,Activity|electricity|E_INT_IN-BC,PJ,0.037740364,0.03774035,0.037740325,0.037740291,0.037740284,0.035869904
Temoa,scenario_3,AB,Activity|electricity|E_INT_IN-SK,PJ,1.099709231,1.099709245,0.989463468,1.048354886,1.038091946,0.921506728
Temoa,scenario_3,AB,Activity|electricity|E_INT_IN-USA,PJ,4.478538488,4.478538449,4.417131622,4.401734028,4.396962842,4.338458858
Temoa,scenario_3,AB,Activity|electricity|E_INT_OUT-BC,PJ,,7.8525576,,,,7.8525576
Temoa,scenario_3,AB,Activity|electricity|E_INT_OUT-SK,PJ,7.8525576,,7.8525576,7.8525576,7.8525576,
Temoa,scenario_3,AB,Activity|electricity|E_NG_CC-EXS,PJ,192.4389699,192.4389662,103.6892282,113.0007747,100.2955619,47.788593
Temoa,scenario_3,AB,Activity|electricity|E_NG_CC-NEW,PJ,,,,,28.95389693,21.66557398
Temoa,scenario_3,AB,Activity|electricity|E_NG_CCS-NEW,PJ,,,,,,7.273635645
Temoa,scenario_3,AB,Activity|electricity|E_NG_CCS_RFIT_95,PJ,,,,,,61.60610099
Temoa,scenario_3,AB,Activity|electricity|E_NG_CC_RFIT_BYPASS,PJ,192.4394359,192.4395508,103.689667,113.0012122,129.2498894,
Temoa,scenario_3,AB,Activity|electricity|E_NG_CG-EXS,PJ,47.5940157,47.59401599,47.59393627,47.59396339,29.03176125,17.72967706
Temoa,scenario_3,AB,Activity|electricity|E_NG_CT-EXS,PJ,10.28376105,21.49916515,,,,
Temoa,scenario_3,AB,Activity|electricity|E_NUC_SMR-NEW,PJ,,,,,,92.57863587
Temoa,scenario_3,AB,Activity|electricity|E_SOL_PV-EXS,PJ,11.39143068,11.3914306,11.1590437,10.91470196,10.88490216,1.65133413
Temoa,scenario_3,AB,Activity|electricity|E_SOL_PV-NEW-2,PJ,,,4.194487359,6.275802935,16.25907501,12.6573171
Temoa,scenario_3,AB,Activity|electricity|E_SOL_PV-NEW-3,PJ,,0.000299904,116.8783167,117.0246129,117.372846,104.441723
Temoa,scenario_3,AB,Activity|electricity|E_WND_ON-EXS,PJ,61.97816439,61.06523145,56.25164158,47.13658187,42.24492659,23.30054649
